#,Company,Symbol,Weight,Price,Chg,% Chg
191,Realty Income,O,0.10%,59.59,-0.31,(-0.52%)
192,Cummins,CMI,0.09%,394.13,-2.23,(-0.56%)
193,Allstate,ALL,0.09%,206.0,-7.62,(-3.57%)
194,"Nasdaq, Inc.",NDAQ,0.09%,94.03,-0.47,(-0.50%)
195,General Motors,GM,0.09%,56.56,-0.21,(-0.37%)
196,FedEx,FDX,0.09%,225.54,-1.67,(-0.74%)
197,Sempra,SRE,0.09%,81.14,-1.26,(-1.53%)
198,MetLife,MET,0.09%,78.88,-0.16,(-0.20%)
199,Dominion Energy,D,0.09%,61.32,-0.20,(-0.33%)
200,L3Harris,LHX,0.09%,277.1,0.95,(0.34%)
201,Paccar,PCAR,0.09%,97.9,-0.29,(-0.29%)
202,Idexx Laboratories,IDXX,0.09%,635.88,-3.98,(-0.62%)
203,Marathon Petroleum,MPC,0.09%,166.81,0.99,(0.60%)
204,Phillips 66,PSX,0.09%,124.98,1.41,(1.14%)
205,Schlumberger,SLB,0.09%,33.86,0.49,(1.48%)
206,Public Storage,PSA,0.09%,286.69,-0.25,(-0.09%)
207,Paychex,PAYX,0.09%,138.65,-0.23,(-0.17%)
208,Corteva,CTVA,0.09%,72.95,-0.01,(-0.01%)
209,Ross Stores,ROST,0.09%,148.63,2.28,(1.56%)
210,D. R. Horton,DHI,0.08%,161.94,-1.43,(-0.88%)
211,Keurig Dr Pepper,KDP,0.08%,35.25,0.07,(0.20%)
212,Ameriprise Financial,AMP,0.08%,506.15,0.75,(0.15%)
213,Edwards Lifesciences,EW,0.08%,81.24,-0.16,(-0.19%)
214,W. W. Grainger,GWW,0.08%,992.5,-7.13,(-0.71%)
215,CBRE Group,CBRE,0.08%,159.31,-1.53,(-0.95%)
216,Kroger,KR,0.08%,71.36,-0.47,(-0.66%)
217,ONEOK,OKE,0.08%,74.08,0.39,(0.54%)
218,Copart,CPRT,0.08%,47.64,0.03,(0.07%)
219,American International Group,AIG,0.08%,82.59,0.06,(0.07%)
220,Ford Motor Company,F,0.08%,11.34,-0.15,(-1.35%)
221,Exelon,EXC,0.08%,44.67,-0.22,(-0.48%)
222,eBay,EBAY,0.08%,98.68,-0.47,(-0.47%)
223,"Block, Inc.",XYZ,0.08%,73.84,-0.34,(-0.46%)
224,Datadog,DDOG,0.08%,128.59,0.13,(0.10%)
225,Crown Castle,CCI,0.08%,102.63,-0.23,(-0.23%)
226,Garmin,GRMN,0.08%,229.79,-0.36,(-0.15%)
227,Kimberly-Clark,KMB,0.08%,133.13,-0.13,(-0.10%)
228,Target Corporation,TGT,0.08%,97.15,-1.54,(-1.56%)
229,Occidental Petroleum,OXY,0.08%,44.59,0.32,(0.72%)
230,MSCI,MSCI,0.08%,567.13,-7.13,(-1.24%)
